07SM      SANDIA MELON; SMART           
07SN      SANDIA                        
07SO      SOFTY                         
07SP      SPRING                        
07SQ      SEXY TODAY VSECRET            
07SR      SILVESTRE                     
07SS      SENSUAL                       
07ST      SWEET TEMPTATION              
07SU      SUNNY FRUIT/SUMMER            
07SV      SAVIA VEGETAL                 
07SW      SUNFLOWER FEM                 
07SX      SAI BABA                      
07SY      SANDIA FRAMBUEZA              
07SZ      SANDALO/YLANG                 
07T1      TRIGO                         
07T2      TIERRA OCRE                   
07T3      CONTRADICTION FEM             
07T4      TRIBU FEM                     
07T5      TOMATE                        
07T6      TUBEROSA                      
07T7      TERRE                         
07T8      TUTULA                        
07T9      TE NEGRO                      
07TA      TAPAS                         
07TB      TABACO                        
07TC      TIERRA OCRE 1                 
07TD      TED LAPIDUS; TODAS            
07TE      TE VERDE                      
07TF      TILO/FRESCA CARICIA           
07TG      TILO/GRANA                    
07TH      THERAPY                       
07TI      TILO                          
07TJ      TILO/MANZANILLA               
07TK      TOKIO MASC                    
07TL      TALCO                         
07TM      TILO/MIRRA                    
07TN      TE VERDE/MENTA                
07TO      TOMILLO                       
07TP      TEMPTATION/TROPICAL PUNCH     
07TQ      THE ONE D&G FEM               
07TR      TORTUGA                       
07TS      TSAR 1615                     
07TT      TEA TREE                      
07TU      TUTIFRUTI                     
07TV      THE ONE MASC D&G              
07TW      THE ONE DG FEM                
07U1      ULTRALIFE 2170 JP             
07U2      ULTRALIFE 2171 JP             
07U3      MADERAS PERFUMADAS            
07UF      ULTRAVIOLET FEM               
07UL      ULTRAVIOLET MASC              
07UM      UVA/MELÓN                     
07UN      UNISEX                        
07UO      UOMO MASC                     
07UP      UPALALA                       
07UR      UVA FRUTILLA                  
07UU      UOMO FEM                      
07UV      UVA                           
07UX      UNITED SEX                    
07V1      VAINILLA/MANZANA/CANELA       
07V2      VAINILLA/CANELA/ALMENDRA      
07V3      VANILLA/MENTA                 
07V4      VAINILLA/CHOCOLATE/CAFÉ       
07V5      VERBENA/VAINILLA              
07V6      VISIT MASC                    
07V7      VAINILLA/MANZANA              
07V8      LAVANDA/VERBENA               
07V9      VETIVERT                      
07VA      VAINILLA                      
07VB      VAINILLA AMBAR                
07VC      VAINILLA/CANELA               
07VD      VAINILLA/ALMENDRA             
07VE      VERBENA                       
07VF      VITAMINADA                    
07VG      VAINILLA FLORAL               
07VH      VAINILLA CHOCOLATE            
07VI      VIOLETA                       
07VJ      212 VIP FEM                   
07VK      VERBENA EICALIPTO             
07VL      VILLAGE                       
07VM      VAINILLA/MIEL                 
07VN      VAINILLA/NARANJA              
07VO      VAINILLA ORIENTAL             
07VP      212 VIP MASC.                 
07VQ      VAINILLA COCO                 
07VR      VINO MOSCATEL                 
07VS      VAINILLA SUGAR; VAINILLA/DULCE
07VT      VITAL                         
07VU      VAINILLA DULCE OPCION 3       
07VV      VIVERE                        
07VW      VEHICULAR ORGANICO            
07VX      VERSACE                       
07VY      VIVEX                         
07VZ      VERBENA/MANZANILLA            
07WA      WANAMA                        
07WF      EMPORIO WITHE FEM             
07WM      WHITE MUSK                    
07WO      WOOD ORANGE                   
07WT      WATER                         
07XB      XS BLACK MASCULINO            
07XC      MIX CITRUS                    
07XE      XERYOUS ROUGE MASC            
07XF      XS BLACK FEM                  
07XI      XI HUGO M                     
07XM      MIRACLE MASC                  
07XP      PLESSURE MASC.                
07XX      AZARO CHROME                  
07XY      XY MASC.                      
07YE      YELLOW                        
07YH      HERBAL CON YERBA MATE         
07YM      YERBA MATE                    
07YU      LA YUMBA                      
07YY      YLANG YLANG                   
07ZA      SAFARI FEM                    
07ZL      CELULITIS/LAVANDA             
07ZM      SANDIA MELON                  
07ZP      PEPINO                        
07ZZ      CIEL                          
